itemType,key,label,type,key1,key2,type1,type2,properties
link,1-3,Controlla,Controls,1,3,Person,Organization,"{""Description"": {""value"": ""Controllo diretto del locale utilizzato come base operativa""}}"
link,2-4,Documenta Intercetazione Ambientale,Contains,2,4,Dossier,Document,"{""Description"": {""value"": ""Intercettazioni Ambientali""}}"
link,2-8,Documenta  Riciclaggio,Contains,2,8,Dossier,Document,"{""Description"": {""value"": ""Documentazione relativa a operazioni di riciclaggio""}}"
link,2-17,Documenta Coinvolgimento Politico,Contains,2,17,Dossier,Document,"{""Description"": {""value"": ""Intercettazioni politica""}}"
link,2-18,Intercetazione telefonica,Contains,2,18,Dossier,Document,"{""Description"": {""value"": ""Intercettazioni Telefoniche""}}"
link,4-5,Documenta,Involves,4,5,Document,Person,"{""Description"": {""value"": ""Coinvolgimento intercettazione Ambientale""}}"
link,3-19,CollocataIn,BasedIn,3,19,Organization,Location,"{""Description"": {""value"": ""Luogo fisico del locale utilizzato come base operativa""}}"
link,5-19,Frequenta,Attends,5,19,Person,Location,"{""Description"": {""value"": ""Frequentazione del locale""}}"
link,5-10,Gestisce,Manage,5,10,Person,Organization,"{""Description"": {""value"": """"}}"
link,1-13,Associato di,AssociatedWith,1,13,Person,Person,"{""Description"": {""value"": """"}}"
link,13-11,Autorizza,Autorizes,13,11,Person,Event,"{""Description"": {""value"": """"}}"
link,13-16,Frequenta,Attends,13,16,Person,Location,"{""Description"": {""value"": """"}}"
link,17-16,Avvenuta,TookPlaceAt,17,16,Document,Location,"{""Description"": {""value"": """"}}"
link,17-13,Coinvolge,involves,17,13,Document,Person,"{""Description"": {""value"": """"}}"
link,4-19,Avvenuta,TookPlaceAt,4,19,Document,Location,"{""Description"": {""value"": ""Intercettazione ambientale presso Bar Augusto""}}"
link,4-1,Coinvolge,Involves,4,1,Document,Person,"{""Description"": {""value"": ""Intercettazione di michele Senese ambientale presso Bar Augusto""}}"
link,9-10,Controlla,Controls,9,10,Person,Organization,"{""Description"": {""value"": ""Controllo della cooperativa per attività illecite""}}"
link,10-11,Avvenuta,MadePossible,10,11,Organization,Event,"{""Description"": {""value"": ""Assegnazione di appalti sospetta""}}"
link,1-7,Numero telefonico personale,Contact,1,7,Person,Phone,"{""Description"": {""value"": ""Numero di telefono personale di Michele Senese""}}"
link,18-7,Numero telefonico intercettato,Record,18,7,Document,Phone,"{""Description"": {""value"": ""Numero di telefono intercettato durante le indagini""}}"
link,18-12,Numero telefonico intercettato,Record,18,12,Document,Phone,"{""Description"": {""value"": ""Numero di telefono intercettato durante le indagini""}}"
link,12-7,Contatto,Contact,12,7,Phone,Phone,"{""Description"": {""value"": ""Contatti telefonici tra Salvatore Buzzi e Michele Senese""}}"
link,8-14,Coinvolge,Involves,8,14,Document,Organization,"{""Description"": {""value"": """"}}"
link,8-15,Coinvolge,Involves,8,15,Document,Organization,"{""Description"": {""value"": """"}}"
link,8-10,Coinvolge,Involves,8,10,Document,Person,"{""Description"": {""value"": ""Coinvolgimento di Franco Testa in operazioni di riciclaggio""}}"
link,14-6,Venditore di,Seller,14,6,Person,Location,"{""Description"": {""value"": ""Coinvolgimento di Franco Testa in operazioni di riciclaggio""}}"
link,8-6,Coinvolge,Involves,8,6,Document,Location,"{""Description"": {""value"": ""Coinvolgimento di Immobiliare Roma Sud in operazioni di riciclaggio""}}"
link,1-6,Possiede,Owns,1,6,Person,Location,"{""Description"": {""value"": ""Possedimenti Roma Sud""}}"
link,2-43,Documenta,Contains,2,43,Dossier,Document,"{""Description"": {""value"": ""La documentazione di attività illecite è parte dell'indagine principale.""}}"
link,20-24,Collegato,AssociatedWith,20,24,Person,Location,"{""Description"": {""value"": ""Giorgio Bianchi ha legami con la Sede Legale Roma.""}}"
link,20-21,Collegato,AssociatedWith,20,21,Person,Organization,"{""Description"": {""value"": ""Giorgio Bianchi ha legami con il Ristorante Da Michele.""}}"
link,20-23,Contatto,Contact,20,23,Person,Phone,"{""Description"": {""value"": ""Numero di telefono di Giorgio Bianchi per contatti diretti.""}}"
link,21-41,Contatto,Contact,41,44,Person,Phone,"{""Description"": {""value"": ""Giorgio Bianchi ha questo numero di telefono per contatti diretti.""}}"
link,23-42,Coinvolge,Involves,43,42,Document,Organization,"{""Description"": {""value"": ""Il ristorante è stato utilizzato per incontri documentati.""}}"
link,24-41,Collegato,AssociatedWith,24,41,Person,Organization,"{""Description"": {""value"": ""Giorgio Bianchi ha legami con il Ristorante Da Michele.""}}"
link,25-45,CollocatoIn,BasedIn,25,45,Organization,Location,"{""Description"": {""value"": ""Il ristorante ha sede legale in Roma.""}}"
link,2-48,Documenta Intercettazione,Contains,2,48,Dossier,Document,"{""Description"": {""value"": ""Intercettazione telefonica di Marco Rossi, parte dell'indagine principale.""}}"
link,46-47,Utilizza,Uses,46,47,Person,Vehicle,"{""Description"": {""value"": ""Marco Rossi utilizza l'auto blu per il trasporto di documenti illeciti.""}}"
link,46-50,Contatto,Contact,46,50,Person,Phone,"{""Description"": {""value"": ""Numero di telefono di Marco Rossi per contatti illeciti.""}}"
link,46-49,Incontra,MeetsAt,46,49,Person,Location,"{""Description"": {""value"": ""Marco Rossi utilizza l'indirizzo di Via Roma 10 per incontri segreti.""}}"
link,48-50,Intercetta,Records,48,50,Document,Phone,"{""Description"": {""value"": ""Numero di telefono intercettato durante le indagini su Marco Rossi.""}}"
link,48-46,Coinvolge,Involves,48,46,Document,Person,"{""Description"": {""value"": ""Intercettazione telefonica che coinvolge Marco Rossi.""}}"
link,2-53,Documenta Intercettazione Esposito,Contains,2,53,Dossier,Document,"{""Description"": {""value"": ""Intercettazione telefonica di Giovanni Esposito, parte dell'indagine principale.""}}"
link,51-52,Incontra,MeetsAt,51,52,Person,Location,"{""Description"": {""value"": ""Giovanni Esposito utilizza l'indirizzo di Via Napoli 20 per incontri segreti con Marco Rossi.""}}"
link,51-54,Contatto,Contact,51,54,Person,Phone,"{""Description"": {""value"": ""Numero di telefono di Giovanni Esposito per contatti illeciti.""}}"
link,53-54,Intercetta,Records,53,54,Document,Phone,"{""Description"": {""value"": ""Numero di telefono intercettato durante le indagini su Giovanni Esposito.""}}"
link,53-51,Coinvolge,Involves,53,51,Document,Person,"{""Description"": {""value"": ""Intercettazione telefonica che coinvolge Giovanni Esposito.""}}"
link,46-51,Collega,AssociatedWith,46,51,Person,Person,"{""Description"": {""value"": ""Marco Rossi è collegato a Giovanni Esposito nelle attività di riciclaggio.""}}"
link,2-55,Documenta Bar,Contains,2,55,Dossier,Document,"{""Description"": {""value"": ""Nota di sorveglianza inclusa nel fascicolo principale""}}"
link,55-56,Coinvolge Bar,Involves,55,56,Document,Organization,"{""Description"": {""value"": ""La nota riguarda le attività presso il Bar Centro""}}"
link,55-57,Coinvolge Gestore,Involves,55,57,Document,Person,"{""Description"": {""value"": ""La nota documenta il coinvolgimento del gestore del bar""}}"
link,56-58,Situato,BasedIn,56,58,Organization,Location,"{""Description"": {""value"": ""Indirizzo del Bar Centro""}}"
link,57-56,Gestisce,Controls,57,56,Person,Organization,"{""Description"": {""value"": ""Antonio Verdi gestisce il Bar Centro""}}"
link,56-59,Contatto Bar,Contact,56,59,Organization,Phone,"{""Description"": {""value"": ""Numero telefonico del Bar Centro""}}"
link,46-56,Frequenta,Attends,46,56,Person,Organization,"{""Description"": {""value"": ""Marco Rossi frequenta il Bar Centro""}}"
link,51-56,Frequenta,Attends,51,56,Person,Organization,"{""Description"": {""value"": ""Giovanni Esposito frequenta il Bar Centro""}}"
link,2-60,Documenta Garage,Contains,2,60,Dossier,Document,"{""Description"": {""value"": ""Nota sulle riunioni segrete inclusa nel fascicolo principale""}}"
link,60-61,Coinvolge Garage,Involves,60,61,Document,Organization,"{""Description"": {""value"": ""La nota documenta le attività presso il Garage Milano""}}"
link,60-62,Coinvolge Proprietario,Involves,60,62,Document,Person,"{""Description"": {""value"": ""La nota documenta il coinvolgimento del proprietario del garage""}}"
link,61-63,Situato,BasedIn,61,63,Organization,Location,"{""Description"": {""value"": ""Indirizzo del Garage Milano""}}"
link,62-61,Gestisce,Controls,62,61,Person,Organization,"{""Description"": {""value"": ""Roberto Ferrari gestisce il Garage Milano""}}"
link,61-64,Contatto Garage,Contact,61,64,Organization,Phone,"{""Description"": {""value"": ""Numero telefonico del Garage Milano""}}"
link,62-65,Utilizza,Uses,62,65,Person,Vehicle,"{""Description"": {""value"": ""Roberto Ferrari utilizza il furgone per trasporto documenti""}}"
link,46-61,Frequenta,Attends,46,61,Person,Organization,"{""Description"": {""value"": ""Marco Rossi frequenta il Garage Milano""}}"
link,51-61,Frequenta,Attends,51,61,Person,Organization,"{""Description"": {""value"": ""Giovanni Esposito frequenta il Garage Milano""}}"
link,62-56,AssociatoCon,AssociatedWith,62,57,Person,Person,"{""Description"": {""value"": ""Roberto Ferrari è associato con Antonio Verdi nelle attività illecite""}}"
link,2-66,Documenta Banca,Contains,2,66,Dossier,Document,"{""Description"": {""value"": ""Nota sulle operazioni bancarie sospette inclusa nel fascicolo principale""}}"
link,66-67,Coinvolge Banca,Involves,66,67,Document,Organization,"{""Description"": {""value"": ""La nota documenta le attività presso il Banco Milano""}}"
link,66-68,Coinvolge Direttore,Involves,66,68,Document,Person,"{""Description"": {""value"": ""La nota documenta il coinvolgimento del direttore di filiale""}}"
link,67-69,Situato,BasedIn,67,69,Organization,Location,"{""Description"": {""value"": ""Indirizzo della filiale bancaria""}}"
link,68-67,Gestisce,Controls,68,67,Person,Organization,"{""Description"": {""value"": ""Luigi Conti gestisce la filiale bancaria""}}"
link,68-70,Contatto,Contact,68,70,Person,Phone,"{""Description"": {""value"": ""Numero telefonico di Luigi Conti""}}"
link,66-71,Contiene,Contains,66,71,Document,Document,"{""Description"": {""value"": ""La nota include documentazione bancaria dettagliata""}}"
link,46-68,AssociatoCon,AssociatedWith,46,68,Person,Person,"{""Description"": {""value"": ""Marco Rossi è collegato a Luigi Conti per operazioni di riciclaggio""}}"
link,51-67,Frequenta,Attends,51,67,Person,Organization,"{""Description"": {""value"": ""Giovanni Esposito frequenta la filiale bancaria""}}"
link,2-72,Documenta Immobili,Contains,2,72,Dossier,Document,"{""Description"": {""value"": ""Nota sulle transazioni immobiliari sospette inclusa nel fascicolo principale""}}"
link,72-73,Coinvolge Agenzia,Involves,72,73,Document,Organization,"{""Description"": {""value"": ""La nota documenta le attività presso l'Immobiliare Luna""}}"
link,72-74,Coinvolge Amministratore,Involves,72,74,Document,Person,"{""Description"": {""value"": ""La nota documenta il coinvolgimento dell'amministratore dell'agenzia""}}"
link,73-75,Situato,BasedIn,73,75,Organization,Location,"{""Description"": {""value"": ""Indirizzo dell'Immobiliare Luna""}}"
link,74-73,Gestisce,Controls,74,73,Person,Organization,"{""Description"": {""value"": ""Carlo Moretti gestisce l'Immobiliare Luna""}}"
link,73-76,Contatto Agenzia,Contact,73,76,Organization,Phone,"{""Description"": {""value"": ""Numero telefonico dell'Immobiliare Luna""}}"
link,72-77,Contiene,Contains,72,77,Document,Document,"{""Description"": {""value"": ""La nota include documentazione dettagliata sulle transazioni immobiliari""}}"
link,74-68,AssociatoCon,AssociatedWith,74,68,Person,Person,"{""Description"": {""value"": ""Carlo Moretti è collegato a Luigi Conti per operazioni di riciclaggio""}}"
link,46-73,Frequenta,Attends,46,73,Person,Organization,"{""Description"": {""value"": ""Marco Rossi frequenta l'Immobiliare Luna""}}"
link,51-73,Frequenta,Attends,51,73,Person,Organization,"{""Description"": {""value"": ""Giovanni Esposito frequenta l'Immobiliare Luna""}}"
link,2-78,Documenta Trasporti,Contains,2,78,Dossier,Document,"{""Description"": {""value"": ""Nota sui trasporti sospetti inclusa nel fascicolo principale""}}"
link,78-79,Coinvolge Trasporti,Involves,78,79,Document,Organization,"{""Description"": {""value"": ""La nota documenta le attività della Trasporti Veloci""}}"
link,78-80,Coinvolge Proprietario,Involves,78,80,Document,Person,"{""Description"": {""value"": ""La nota documenta il coinvolgimento del proprietario dell'azienda""}}"
link,79-81,Situato,BasedIn,79,81,Organization,Location,"{""Description"": {""value"": ""Sede operativa della Trasporti Veloci""}}"
link,80-79,Gestisce,Controls,80,79,Person,Organization,"{""Description"": {""value"": ""Paolo Ricci gestisce la Trasporti Veloci""}}"
link,79-82,Contatto Azienda,Contact,79,82,Organization,Phone,"{""Description"": {""value"": ""Numero telefonico della Trasporti Veloci""}}"
link,80-83,Utilizza,Uses,80,83,Person,Vehicle,"{""Description"": {""value"": ""Paolo Ricci utilizza il camion per trasporti sospetti""}}"
link,78-84,Contiene,Contains,78,84,Document,Document,"{""Description"": {""value"": ""La nota include documentazione dettagliata sulle spedizioni""}}"
link,80-74,AssociatoCon,AssociatedWith,80,74,Person,Person,"{""Description"": {""value"": ""Paolo Ricci è collegato a Carlo Moretti per operazioni illecite""}}"
link,80-68,AssociatoCon,AssociatedWith,80,68,Person,Person,"{""Description"": {""value"": ""Paolo Ricci è collegato a Luigi Conti per movimentazione denaro""}}"
link,46-79,Frequenta,Attends,46,79,Person,Organization,"{""Description"": {""value"": ""Marco Rossi frequenta la sede della Trasporti Veloci""}}"
link,2-85,Documenta Exchange,Contains,2,85,Dossier,Document,"{""Description"": {""value"": ""Nota sulle operazioni di cambio valuta sospette inclusa nel fascicolo principale""}}"
link,85-86,Coinvolge Exchange,Involves,85,86,Document,Organization,"{""Description"": {""value"": ""La nota documenta le attività presso il Quick Money Exchange""}}"
link,85-87,Coinvolge Titolare,Involves,85,87,Document,Person,"{""Description"": {""value"": ""La nota documenta il coinvolgimento della titolare dell'attività""}}"
link,86-88,Situato,BasedIn,86,88,Organization,Location,"{""Description"": {""value"": ""Indirizzo del Quick Money Exchange""}}"
link,87-86,Gestisce,Controls,87,86,Person,Organization,"{""Description"": {""value"": ""Sofia Romano gestisce il Quick Money Exchange""}}"
link,86-89,Contatto Exchange,Contact,86,89,Organization,Phone,"{""Description"": {""value"": ""Numero telefonico del Quick Money Exchange""}}"
link,85-90,Contiene,Contains,85,90,Document,Document,"{""Description"": {""value"": ""La nota include il registro delle operazioni sospette""}}"
link,87-91,Utilizza,Uses,87,91,Person,Vehicle,"{""Description"": {""value"": ""Sofia Romano utilizza l'auto per trasporto contanti""}}"
link,87-68,AssociatoCon,AssociatedWith,87,68,Person,Person,"{""Description"": {""value"": ""Sofia Romano è collegata a Luigi Conti per operazioni di riciclaggio""}}"
link,87-74,AssociatoCon,AssociatedWith,87,74,Person,Person,"{""Description"": {""value"": ""Sofia Romano è collegata a Carlo Moretti per movimentazione denaro""}}"
link,46-86,Frequenta,Attends,46,86,Person,Organization,"{""Description"": {""value"": ""Marco Rossi frequenta il Quick Money Exchange""}}"
link,51-86,Frequenta,Attends,51,86,Person,Organization,"{""Description"": {""value"": ""Giovanni Esposito frequenta il Quick Money Exchange""}}"
link,2-85,Documenta Exchange,Contains,2,85,Dossier,Document,"{""Description"": {""value"": ""Nota sulle operazioni di cambio valuta sospette inclusa nel fascicolo principale""}}"
link,85-86,Coinvolge Exchange,Involves,85,86,Document,Organization,"{""Description"": {""value"": ""La nota documenta le attività presso il Quick Money Exchange""}}"
link,85-87,Coinvolge Titolare,Involves,85,87,Document,Person,"{""Description"": {""value"": ""La nota documenta il coinvolgimento della titolare dell'attività""}}"
link,86-88,Situato,BasedIn,86,88,Organization,Location,"{""Description"": {""value"": ""Indirizzo del Quick Money Exchange""}}"
link,87-86,Gestisce,Controls,87,86,Person,Organization,"{""Description"": {""value"": ""Sofia Romano gestisce il Quick Money Exchange""}}"
link,86-89,Contatto Exchange,Contact,86,89,Organization,Phone,"{""Description"": {""value"": ""Numero telefonico del Quick Money Exchange""}}"
link,85-90,Contiene,Contains,85,90,Document,Document,"{""Description"": {""value"": ""La nota include il registro delle operazioni sospette""}}"
link,87-91,Utilizza,Uses,87,91,Person,Vehicle,"{""Description"": {""value"": ""Sofia Romano utilizza l'auto per trasporto contanti""}}"
link,87-68,AssociatoCon,AssociatedWith,87,68,Person,Person,"{""Description"": {""value"": ""Sofia Romano è collegata a Luigi Conti per operazioni di riciclaggio""}}"
link,87-74,AssociatoCon,AssociatedWith,87,74,Person,Person,"{""Description"": {""value"": ""Sofia Romano è collegata a Carlo Moretti per movimentazione denaro""}}"
link,46-86,Frequenta,Attends,46,86,Person,Organization,"{""Description"": {""value"": ""Marco Rossi frequenta il Quick Money Exchange""}}"
link,51-86,Frequenta,Attends,51,86,Person,Organization,"{""Description"": {""value"": ""Giovanni Esposito frequenta il Quick Money Exchange""}}"
link,2-92,Documenta Collegamenti,Contains,2,92,Dossier,Document,"{""Description"": {""value"": ""Nota sui collegamenti internazionali inclusa nel fascicolo principale""}}"
link,92-93,Coinvolge Agenzia,Involves,92,93,Document,Organization,"{""Description"": {""value"": ""La nota documenta le attività della Global Travel Agency""}}"
link,92-94,Coinvolge Titolare,Involves,92,94,Document,Person,"{""Description"": {""value"": ""La nota documenta il coinvolgimento della titolare dell'agenzia""}}"
link,93-95,Situato,BasedIn,93,95,Organization,Location,"{""Description"": {""value"": ""Indirizzo della Global Travel Agency""}}"
link,94-93,Gestisce,Controls,94,93,Person,Organization,"{""Description"": {""value"": ""Elena Costa gestisce la Global Travel Agency""}}"
link,93-96,Contatto Agenzia,Contact,93,96,Organization,Phone,"{""Description"": {""value"": ""Numero telefonico della Global Travel Agency""}}"
link,92-97,Contiene,Contains,92,97,Document,Document,"{""Description"": {""value"": ""La nota include documentazione sui viaggi""}}"
link,94-98,Utilizza,Uses,94,98,Person,Vehicle,"{""Description"": {""value"": ""Elena Costa utilizza il BMW X5 per trasferimenti""}}"
link,94-87,AssociatoCon,AssociatedWith,94,87,Person,Person,"{""Description"": {""value"": ""Elena Costa è collegata a Sofia Romano per movimentazione denaro internazionale""}}"
link,94-74,AssociatoCon,AssociatedWith,94,74,Person,Person,"{""Description"": {""value"": ""Elena Costa è collegata a Carlo Moretti per operazioni immobiliari estere""}}"
link,46-93,Frequenta,Attends,46,93,Person,Organization,"{""Description"": {""value"": ""Marco Rossi frequenta la Global Travel Agency""}}"
